"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"568","PH","island",0.3293037471426,1.171,0.744,-1.54776712978603,-0.0687711514832324,1.34371637842269,9.1,82,13,31,0.834
"596","PH","island",0.3293037471426,1.171,0.746,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.695
"617","BO","continuous.forest",1.22082992139236,2.522,0.742,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.806
"619","BO","continuous.forest",1.22082992139236,2.522,0.831,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.707
"626","BO","continuous.forest",1.22082992139236,2.522,0.801,1.78879572751579,0.968121909744839,1.10300592644415,750.5,90,19,50,0.841
"633","BO","continuous.forest",1.22082992139236,2.522,0.827,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.792
"634","BO","continuous.forest",1.22082992139236,2.522,0.9,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.805
"646","BO","continuous.forest",1.22082992139236,2.522,0.766,1.78879572751579,0.968121909744839,1.50926010738485,750.5,90,19,50,0.879
"661","AR2","forest.fragment",1.21194097397511,2.963,0.772,1.39604986241876,-1.96878064904566,1,142,91,15,62,0.874
"686","AR2","forest.fragment",1.21194097397511,2.963,0.805,1.39604986241876,-1.96878064904566,1.07683113745662,142,91,15,62,0.858
"690","AR3","forest.fragment",0.841567185678219,1.636,0.807,1.91021926105083,-1.6920558187209,1,142,94,18,59,0.896
"694","AR3","forest.fragment",0.841567185678219,1.636,0.847,1.91021926105083,-1.6920558187209,1.64938488846612,142,94,18,59,0.788
"732","FR","continuous.forest",0.978326122793608,1.703,0.742,0.732388637130749,0.467387370602807,1.46670461315591,516.2,81,15,57,0.65
"733","FR","continuous.forest",0.978326122793608,1.703,0.779,0.732388637130749,0.467387370602807,1.42247443124275,516.2,81,15,57,0.907
"769","FR","continuous.forest",0.978326122793608,1.703,0.75,0.732388637130749,0.467387370602807,1.3461236761257,516.2,81,15,57,0.924
"832","GU","island",0,1,0.73,-1.23525231857971,-0.828987259231511,1.82657068009945,5.9,83,11,47,0.886
"833","GU","island",0,1,0.817,-1.23525231857971,-0.828987259231511,2.10898854847851,5.9,83,11,47,0.448
"838","GU","island",0,1,0.758,-1.23525231857971,-0.828987259231511,1.8052718874369,5.9,83,11,47,0.944
"846","GU","island",0,1,0.744,-1.23525231857971,-0.828987259231511,1.67047272463575,5.9,83,11,47,0.803
"850","GU","island",0,1,0.717,-1.23525231857971,-0.828987259231511,1.17886771364955,5.9,83,11,47,0.753
"867","GU","island",0,1,0.751,-1.23525231857971,-0.828987259231511,2.68627163867871,5.9,83,11,47,0.785
"918","TA","island",0.438254930931155,1.229,0.812,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.93
"919","TA","island",0.438254930931155,1.229,0.732,-1.63366236665128,-0.550819187938405,1.96013170420779,6.9,76,12,46,0.91
"921","TA","island",0.438254930931155,1.229,0.851,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.84
"922","TA","island",0.438254930931155,1.229,0.738,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.951
"925","TA","island",0.438254930931155,1.229,0.797,-1.63366236665128,-0.550819187938405,1.1047547774326,6.9,76,12,46,0.587
